Financial Year,Type of flow,Country,Sector,Sector Name,Expense $'000
2014/15,ODA,Afghanistan,21010,Transport policy and administrative management,4623.7
2014/15,ODA,Afghanistan,31120,Agricultural development,4433.6
2014/15,ODA,Afghanistan,31140,Agricultural water resources,1938.6
2014/15,ODA,Afghanistan,31150,Agricultural inputs,96.2
2014/15,ODA,Afghanistan,31161,Food crop production,355.2
2014/15,ODA,Afghanistan,31163,Livestock,542.7
2014/15,ODA,Afghanistan,31181,Agricultural education/training,230.4
2014/15,ODA,Afghanistan,33110,Trade policy and administrative management,86.2
2014/15,ODA,Argentina,32161,Agro-industries,19.4
2014/15,ODA,Asia Unspecified,24010,Financial policy and administrative management,600
2014/15,ODA,Asia Unspecified,24040,Informal/semi-formal financial intermediaries,250.2
2014/15,ODA,Asia Unspecified,24081,Education/training in banking and financial services,250
2014/15,ODA,Asia Unspecified,25010,Business support services and institutions,8603.3
2014/15,ODA,Asia Unspecified,31210,Forestry policy and administrative management,3000
2014/15,ODA,Bangladesh,22010,Communications policy and administrative management,22.5
2014/15,ODA,Bangladesh,23010,Energy policy and administrative management,1250
2014/15,ODA,Bangladesh,23110,Energy policy and administrative management,513.6
2014/15,ODA,Bangladesh,24020,Monetary institutions,71.2
2014/15,ODA,Bangladesh,24040,Informal/semi-formal financial intermediaries,470.9
2014/15,ODA,Bangladesh,25010,Business support services and institutions,22.5
2014/15,ODA,Bangladesh,31161,Food crop production,834.5
2014/15,ODA,Bangladesh,31163,Livestock,38.8
2014/15,ODA,Bangladesh,31182,Agricultural research,958.4
2014/15,ODA,Bangladesh,31195,Livestock/veterinary services,22.5
2014/15,ODA,Bangladesh,32130,Small and medium-sized enterprises (SME) development,22.5
2014/15,ODA,Bangladesh,32182,Technological research and development,430.3
2014/15,ODA,Bangladesh,33110,Trade policy and administrative management,86.2
2014/15,ODA,Belize,23010,Energy policy and administrative management,22.5
2014/15,ODA,Bhutan,23010,Energy policy and administrative management,250
2014/15,ODA,Bhutan,31110,Agricultural policy and administrative management,37.2
2014/15,ODA,Bhutan,31182,Agricultural research,320.4
2014/15,ODA,Bhutan,33110,Trade policy and administrative management,43.1
2014/15,ODA,Bolivia,31161,Food crop production,78.1
2014/15,ODA,Bolivia,32130,Small and medium-sized enterprises (SME) development,97.8
2014/15,ODA,Botswana,24010,Financial policy and administrative management,42.5
2014/15,ODA,Botswana,31195,Livestock/veterinary services,72.9
2014/15,ODA,Botswana,32210,Mineral/mining policy and administrative management,331.7
2014/15,ODA,Brazil,22010,Communications policy and administrative management,0.2
2014/15,ODA,Brazil,31165,Agricultural alternative development,30.7
2014/15,ODA,Brazil,32210,Mineral/mining policy and administrative management,10
2014/15,ODA,Brazil,33120,Trade facilitation,3
2014/15,ODA,Burkina Faso,32210,Mineral/mining policy and administrative management,114
2014/15,ODA,Burundi,31120,Agricultural development,401.2
2014/15,ODA,Burundi,31182,Agricultural research,287.6
2014/15,ODA,Burundi,31282,Forestry research,335
2014/15,ODA,Burundi,32210,Mineral/mining policy and administrative management,10.2
2014/15,ODA,Cambodia,21020,Road transport,7612
2014/15,ODA,Cambodia,21030,Rail transport,375.8
2014/15,ODA,Cambodia,21081,Education and training in transport and storage,23.6
2014/15,ODA,Cambodia,22030,Radio/television/print media,45.3
2014/15,ODA,Cambodia,22040,Information and communication technology (ICT),22.5
2014/15,ODA,Cambodia,23040,Electrical transmission/ distribution,47.8
2014/15,ODA,Cambodia,24010,Financial policy and administrative management,1679.5
2014/15,ODA,Cambodia,24040,Informal/semi-formal financial intermediaries,467
2014/15,ODA,Cambodia,25010,Business support services and institutions,837.7
2014/15,ODA,Cambodia,31110,Agricultural policy and administrative management,754.4
2014/15,ODA,Cambodia,31120,Agricultural development,14846.2
